0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Sampling Interval
4.663,5.864,2.239,1.841,,,A1,30 seconds
4.663,3.951,1.841,2.239,,,A1,30 seconds
3.229,1.299,2.239,1.841,,,A1,30 seconds
4.605,1.299,2.239,1.841,,,A1,30 seconds
4.663,5.864,1.841,1.841,,,A1,30 seconds
4.663,1.299,1.841,1.841,,,A1,30 seconds
7.936,3.951,2.239,1.841,,,A1,30 seconds
0.874,5.864,1.841,2.239,,,A1,30 seconds
7.936,3.951,1.841,2.239,,,A1,30 seconds
0.874,3.951,2.239,2.239,,,A1,30 seconds
4.663,5.864,1.841,2.239,,,A1,30 seconds
4.663,5.864,2.239,2.239,,,A1,30 seconds
4.663,3.951,1.841,2.239,,,A1,30 seconds
0.874,3.951,2.239,1.841,,,A1,30 seconds
4.663,1.299,1.841,2.239,,,A1,30 seconds
4.605,5.864,2.239,1.841,,,A1,30 seconds
0.874,5.864,2.239,1.841,,,A1,30 seconds
3.229,1.299,1.841,2.239,,,A1,30 seconds
0.874,3.951,1.841,2.239,,,A1,30 seconds
3.229,5.864,1.841,1.841,,,A1,30 seconds
4.663,3.951,2.239,1.841,,,A1,30 seconds
3.229,1.299,2.239,1.841,,,A1,30 seconds
7.936,5.864,2.239,1.841,,,A1,30 seconds
3.229,1.299,1.841,1.841,,,A1,30 seconds
4.663,5.864,1.841,2.239,,,A1,30 seconds
4.605,5.864,1.841,2.239,,,A1,30 seconds
4.663,1.299,1.841,2.239,,,A1,30 seconds
7.936,1.299,2.239,1.841,,,A1,30 seconds
4.605,5.864,2.239,2.239,,,A1,30 seconds
3.229,3.951,2.239,2.239,,,A1,30 seconds
7.936,1.299,1.841,2.239,,,A1,30 seconds
4.663,1.299,2.239,1.841,,,A1,30 seconds
4.605,5.864,2.239,2.239,,,A1,30 seconds
3.229,3.951,2.239,1.841,,,A1,30 seconds
4.663,3.951,2.239,1.841,,,A1,30 seconds
4.663,1.299,1.841,1.841,,,A1,30 seconds
3.229,5.864,2.239,1.841,,,A1,30 seconds
7.936,1.299,1.841,2.239,,,A1,30 seconds
3.229,3.951,1.841,2.239,,,A1,30 seconds
4.663,1.299,2.239,2.239,,,A1,30 seconds
4.663,3.951,2.239,1.841,,,A1,30 seconds
4.605,3.951,1.841,1.841,,,A1,30 seconds
7.936,5.864,2.239,1.841,,,A1,30 seconds
0.874,1.299,1.841,2.239,,,A1,30 seconds
4.663,1.299,2.239,1.841,,,A1,30 seconds
0.874,3.951,2.239,2.239,,,A1,30 seconds
4.663,1.299,2.239,2.239,,,A1,30 seconds
3.229,3.951,1.841,2.239,,,A1,30 seconds
0.874,5.864,1.841,2.239,,,A1,30 seconds
4.605,3.951,1.841,2.239,,,A1,30 seconds
7.936,5.864,2.239,2.239,,,A1,30 seconds
4.994,2.674,1.815,3.049,1.745,3.234,B1,30 seconds
3.345,3.495,0.491,1.767,0.032,1.296,B1,30 seconds
9.316,4.618,1.815,1.779,1.648,3.234,B1,30 seconds
10.605,3.495,0.027,3.049,1.648,3.234,B1,30 seconds
6.191,4.362,0.027,3.049,0.032,1.296,B1,30 seconds
3.963,2.221,4.512,0.458,0.362,1.296,B1,30 seconds
1.028,6.2,0.027,5.286,1.648,1.296,B1,30 seconds
4.854,4.618,1.28,5.286,0.362,1.759,B1,30 seconds
8.737,5.665,3.693,0.458,1.745,3.234,B1,30 seconds
8.419,1.826,1.815,1.779,1.648,1.759,B1,30 seconds
8.419,4.362,3.693,4.689,1.648,1.759,B1,30 seconds
3.345,4.362,0.027,0.458,1.745,3.234,B1,30 seconds
1.028,6.2,1.815,5.286,1.745,1.296,B1,30 seconds
4.854,3.495,0.491,0.458,1.648,1.296,B1,30 seconds
4.854,2.221,4.512,1.779,0.032,3.234,B1,30 seconds
1.028,4.362,1.334,4.689,0.032,1.759,B1,30 seconds
0.137,2.674,0.027,5.286,1.648,1.296,B1,30 seconds
11.628,5.665,3.693,4.689,1.745,1.296,B1,30 seconds
8.419,4.618,4.512,3.049,0.362,3.234,B1,30 seconds
8.737,3.495,1.334,0.458,1.745,1.296,B1,30 seconds
2.543,6.2,1.815,0.458,1.648,1.759,B1,30 seconds
1.028,2.221,1.28,1.767,1.745,1.296,B1,30 seconds
6.509,3.495,3.693,5.286,1.745,3.234,B1,30 seconds
3.345,6.06,4.512,3.049,1.648,3.234,B1,30 seconds
11.628,2.674,1.815,4.689,0.362,3.234,B1,30 seconds
4.854,6.06,3.693,3.049,0.362,1.296,B1,30 seconds
0.671,1.826,0.491,0.458,0.362,3.234,B1,30 seconds
4.854,6.2,3.693,4.689,0.032,1.296,B1,30 seconds
6.147,5.665,1.28,1.779,1.745,1.296,B1,30 seconds
6.509,3.495,1.28,1.767,1.745,3.234,B1,30 seconds
4.994,2.674,3.693,4.689,0.362,1.296,B1,30 seconds
1.028,6.2,3.693,4.689,0.032,1.296,B1,30 seconds
5.796,2.674,0.027,1.767,0.032,1.296,B1,30 seconds
1.874,6.2,0.027,4.689,1.745,3.234,B1,30 seconds
0.137,4.362,1.334,4.689,0.032,3.234,B1,30 seconds
6.509,2.674,3.693,4.689,0.362,1.296,B1,30 seconds
3.345,2.221,1.815,3.049,0.032,3.234,B1,30 seconds
0.337,2.674,1.28,1.779,0.032,1.759,B1,30 seconds
0.137,3.175,1.334,0.458,1.648,1.759,B1,30 seconds
11.628,4.618,3.693,3.049,0.032,1.759,B1,30 seconds
0.137,1.826,1.334,4.689,0.032,3.234,B1,30 seconds
0.671,6.2,1.815,3.049,1.648,1.296,B1,30 seconds
2.543,6.223,0.027,0.458,0.032,1.296,B1,30 seconds
6.509,3.175,3.693,1.779,1.745,3.234,B1,30 seconds
0.671,4.362,1.815,5.286,1.648,1.296,B1,30 seconds
3.345,1.826,1.815,1.779,1.648,3.234,B1,30 seconds
4.854,3.175,3.693,1.767,0.032,1.759,B1,30 seconds
5.796,6.06,1.334,1.779,0.032,1.296,B1,30 seconds
0.671,2.674,1.28,4.689,0.032,1.296,B1,30 seconds
9.316,6.223,0.027,5.286,1.648,1.296,B1,30 seconds
11.628,4.362,0.491,4.689,1.648,1.759,B1,30 seconds
2.543,6.223,4.512,4.689,1.745,3.234,B1,30 seconds
6.509,3.175,0.491,3.049,0.032,3.234,B1,30 seconds
3.345,2.221,3.693,1.767,0.362,1.759,B1,30 seconds
0.425,3.495,1.815,1.779,1.745,1.296,B1,30 seconds
5.796,2.674,0.491,0.458,0.362,1.296,B1,30 seconds
1.028,4.618,1.334,5.286,1.745,3.234,B1,30 seconds
3.963,2.221,1.28,5.286,1.648,1.296,B1,30 seconds
1.028,4.362,1.28,3.049,1.745,1.296,B1,30 seconds
8.737,1.826,1.815,1.779,1.745,3.234,B1,30 seconds
1.874,2.674,0.027,1.779,0.362,1.759,B1,30 seconds
4.994,4.618,3.693,0.458,1.745,1.759,B1,30 seconds
8.737,1.826,0.491,5.286,0.362,1.759,B1,30 seconds
0.425,2.674,4.512,0.458,1.745,1.759,B1,30 seconds
7.489,2.674,3.693,5.286,0.032,1.296,B1,30 seconds
0.425,6.223,1.28,0.458,0.362,1.759,B1,30 seconds
9.316,4.618,1.28,3.049,1.745,3.234,B1,30 seconds
10.605,2.221,0.491,3.049,0.362,1.296,B1,30 seconds
8.737,4.618,0.491,1.779,0.032,3.234,B1,30 seconds
0.671,1.826,1.28,4.689,1.745,1.296,B1,30 seconds
0.137,2.221,3.693,1.767,0.032,1.296,B1,30 seconds
5.796,2.674,1.334,5.286,1.745,3.234,B1,30 seconds
1.028,4.362,1.334,0.458,1.745,1.296,B1,30 seconds
6.191,5.665,0.491,1.779,1.648,1.296,B1,30 seconds
0.137,6.2,0.491,1.767,0.362,1.296,B1,30 seconds
4.994,4.618,1.334,4.689,0.362,3.234,B1,30 seconds
8.737,1.826,1.815,4.689,1.745,3.234,B1,30 seconds
8.419,4.362,1.334,3.049,0.032,1.296,B1,30 seconds
3.963,2.674,0.027,5.286,0.362,1.759,B1,30 seconds
8.419,6.223,1.815,4.689,0.032,3.234,B1,30 seconds
0.671,3.175,1.815,0.458,0.032,3.234,B1,30 seconds
6.509,4.618,1.28,1.779,0.032,1.759,B1,30 seconds
7.489,4.362,1.815,0.458,1.648,3.234,B1,30 seconds
1.028,2.221,1.334,0.458,0.032,1.759,B1,30 seconds
1.028,6.223,0.027,0.458,0.032,1.759,B1,30 seconds
10.605,2.674,1.28,1.767,0.362,1.759,B1,30 seconds
3.963,2.221,0.491,1.779,0.362,3.234,B1,30 seconds
0.425,2.674,1.28,3.049,0.362,3.234,B1,30 seconds
4.854,6.06,0.027,0.458,1.745,3.234,B1,30 seconds
7.489,2.674,0.027,1.779,0.362,3.234,B1,30 seconds
3.963,4.362,3.693,1.779,1.745,3.234,B1,30 seconds
1.874,3.495,3.693,0.458,0.032,1.759,B1,30 seconds
0.137,6.06,3.693,1.767,1.745,1.759,B1,30 seconds
4.994,6.223,0.027,5.286,0.362,1.759,B1,30 seconds
11.628,4.362,1.28,0.458,1.648,3.234,B1,30 seconds
0.337,4.362,0.027,0.458,1.648,1.759,B1,30 seconds
10.605,6.2,0.027,0.458,0.032,1.759,B1,30 seconds
3.345,3.495,1.815,0.458,1.745,1.296,B1,30 seconds
4.854,3.175,1.334,4.689,0.032,1.296,B1,30 seconds
0.137,3.175,1.815,5.286,0.032,3.234,B1,30 seconds
7.012,3.769,0.149,4.151,2.569,0.406,C,30 seconds
10.013,8.04,0.149,1.532,0.465,1.314,C,30 seconds
2.995,1.428,1.647,0.558,2.569,1.314,C,30 seconds
6.273,5.303,1.647,0.558,1.671,1.314,C,30 seconds
9.827,8.04,1.647,0.254,1.671,0.406,C,30 seconds
6.866,5.303,3.802,1.532,1.671,1.314,C,30 seconds
6.273,3.769,0.149,0.254,0.465,1.314,C,30 seconds
0.07,2.507,3.802,4.151,0.465,1.314,C,30 seconds
0.07,2.664,3.802,4.151,0.465,1.314,C,30 seconds
9.827,2.558,1.628,0.558,2.569,1.314,C,30 seconds
10.013,2.558,1.647,4.151,2.569,1.314,C,30 seconds
7.012,8.04,0.149,0.558,0.465,0.406,C,30 seconds
10.901,2.558,0.149,1.532,0.465,1.314,C,30 seconds
2.028,3.769,5.924,4.151,0.465,0.406,C,30 seconds
0.421,2.664,1.647,0.558,2.569,0.406,C,30 seconds
3.688,8.04,5.924,0.558,0.465,0.406,C,30 seconds
9.827,1.428,5.924,4.151,2.569,1.314,C,30 seconds
10.013,8.04,1.647,0.558,0.465,0.406,C,30 seconds
2.393,8.04,5.924,0.254,0.465,0.406,C,30 seconds
9.827,3.769,3.802,4.151,0.465,1.314,C,30 seconds
10.901,1.428,3.802,4.151,1.671,0.406,C,30 seconds
9.827,2.558,1.647,1.532,0.465,1.314,C,30 seconds
0.421,2.507,1.647,1.532,0.465,0.406,C,30 seconds
6.273,5.303,0.149,0.558,0.465,0.406,C,30 seconds
6.866,8.04,1.628,0.254,1.671,0.406,C,30 seconds
6.866,5.303,0.149,0.558,0.465,1.314,C,30 seconds
2.028,2.664,1.628,0.558,0.465,1.314,C,30 seconds
10.013,2.507,5.924,1.532,0.465,0.406,C,30 seconds
7.012,2.507,5.924,1.532,2.569,1.314,C,30 seconds
3.688,2.507,1.628,4.151,2.569,0.406,C,30 seconds
0.421,3.769,5.924,4.151,0.465,0.406,C,30 seconds
2.393,1.428,5.924,0.254,1.671,1.314,C,30 seconds
6.866,2.507,3.802,4.151,0.465,1.314,C,30 seconds
7.012,2.664,1.647,4.151,2.569,1.314,C,30 seconds
9.827,1.428,5.924,0.558,1.671,0.406,C,30 seconds
3.688,1.428,1.647,0.558,0.465,1.314,C,30 seconds
10.901,8.04,1.628,1.532,2.569,0.406,C,30 seconds
6.273,1.428,3.802,4.151,2.569,1.314,C,30 seconds
2.028,2.558,1.647,4.151,2.569,1.314,C,30 seconds
0.421,1.428,1.628,0.558,1.671,0.406,C,30 seconds
2.028,8.04,3.802,0.558,0.465,0.406,C,30 seconds
2.393,3.769,1.628,4.151,1.671,1.314,C,30 seconds
