50.0,25.0,0.0,12.5,8.325,18.75,5.0,16.675,17.85,21.875,25.0,B1,select word,rare
50.0,50.0,0.0,0.0,58.325,43.75,10.0,8.325,17.85,25.0,22.225,B1,select word,rare
250.0,75.0,0.0,25.0,50.0,18.75,15.0,8.325,35.725,6.25,33.325,B1,select word,rare
100.0,125.0,33.325,25.0,8.325,37.5,30.0,12.5,3.575,12.5,61.1,B1,select word,rare
100.0,125.0,33.325,37.5,16.675,50.0,30.0,4.175,28.575,3.125,0.0,B1,select word,rare
100.0,0.0,0.0,12.5,25.0,12.5,45.0,37.5,3.575,3.125,11.1,B1,select word,rare
50.0,100.0,33.325,50.0,25.0,37.5,10.0,20.825,14.275,3.125,22.225,B1,select word,rare
50.0,25.0,83.325,25.0,33.325,50.0,10.0,25.0,17.85,43.75,19.45,B1,select word,rare
50.0,75.0,50.0,12.5,16.675,43.75,15.0,29.175,42.85,15.625,19.45,B1,select word,rare
100.0,25.0,16.675,12.5,0.0,12.5,5.0,33.325,25.0,9.375,13.9,B1,select word,rare
0.0,75.0,66.675,25.0,33.325,6.25,5.0,8.325,42.85,34.375,2.775,B1,select word,rare
50.0,0.0,33.325,37.5,25.0,25.0,35.0,20.825,17.85,28.125,8.325,B1,select word,rare
50.0,50.0,50.0,112.5,16.675,12.5,50.0,0.0,42.85,15.625,8.325,B1,select word,rare
50.0,75.0,66.675,50.0,8.325,0.0,45.0,87.5,21.425,18.75,13.9,B1,select word,rare
100.0,25.0,50.0,50.0,41.675,50.0,10.0,8.325,21.425,12.5,5.55,B1,select word,rare
100.0,150.0,166.675,12.5,0.0,31.25,15.0,12.5,28.575,0.0,25.0,B1,select word,rare
50.0,100.0,33.325,25.0,33.325,12.5,0.0,0.0,3.575,25.0,25.0,B1,select word,rare
100.0,25.0,16.675,37.5,16.675,6.25,20.0,20.825,35.725,37.5,0.0,B1,select word,rare
100.0,25.0,0.0,12.5,50.0,6.25,15.0,0.0,14.275,40.625,25.0,B1,select word,rare
50.0,25.0,0.0,37.5,25.0,25.0,10.0,54.175,35.725,37.5,11.1,B1,select word,rare
0.0,75.0,0.0,37.5,25.0,25.0,15.0,4.175,28.575,3.125,2.775,B1,select word,rare
50.0,25.0,83.325,37.5,8.325,12.5,5.0,12.5,17.85,34.375,27.775,B1,select word,rare
250.0,25.0,50.0,25.0,33.325,50.0,10.0,29.175,0.0,25.0,22.225,B1,select word,rare
50.0,25.0,33.325,75.0,16.675,50.0,10.0,33.325,3.575,12.5,22.225,B1,select word,rare
100.0,25.0,100.0,12.5,0.0,31.25,35.0,37.5,21.425,9.375,0.0,B1,select word,rare
24.333,14.877,7.185,8.765,19.802,8.765,24.333,3.84,24.333,2.852,12.778,A3,select word,rare
13.494,52.716,32.407,27.679,19.802,30.049,9.716,8.765,9.469,6.605,30.309,A3,select word,rare
62.173,60.79,7.185,10.148,2.272,7.79,17.284,16.457,6.741,4.037,0.16,A3,select word,rare
13.494,32.407,11.728,43.247,10.346,11.136,15.383,8.765,16.235,18.222,12.444,A3,select word,rare
62.173,32.407,13.494,43.247,13.494,20.593,16.765,11.914,13.531,11.333,23.284,A3,select word,rare
32.407,22.951,11.728,24.333,18.037,25.321,5.42,29.062,24.333,26.704,29.259,A3,select word,rare
43.247,13.494,19.802,13.494,0.889,17.247,19.173,5.42,9.469,4.037,7.519,A3,select word,rare
13.494,24.333,36.951,10.148,29.259,6.407,22.951,5.617,14.852,20.79,13.827,A3,select word,rare
126.988,14.877,5.42,22.951,18.037,43.247,9.716,19.605,4.074,11.136,39.765,A3,select word,rare
89.16,32.407,24.333,18.222,60.79,21.975,7.309,8.568,9.444,13.494,2.988,A3,select word,rare
51.333,43.247,18.037,38.519,5.42,34.778,3.531,10.148,2.691,13.691,6.136,A3,select word,rare
70.247,60.79,32.407,24.333,19.802,7.79,3.531,13.296,24.333,12.309,18.037,A3,select word,rare
32.407,24.333,5.42,46.593,13.494,24.333,4.037,18.222,1.37,12.309,5.42,A3,select word,rare
43.247,32.407,36.951,41.864,8.568,12.519,11.099,5.617,6.765,0.691,8.247,A3,select word,rare
24.333,79.704,26.111,29.062,35.568,14.877,28.123,4.037,31.062,5.42,13.494,A3,select word,rare
43.247,52.716,7.185,22.951,14.877,21.975,7.815,7.185,1.333,10.148,14.877,A3,select word,rare
70.247,60.79,51.333,19.605,16.654,6.407,11.605,11.728,27.037,0.494,5.42,A3,select word,rare
5.42,14.877,32.407,5.42,16.654,22.951,7.815,10.346,4.074,12.309,13.494,A3,select word,rare
5.42,24.333,32.407,70.247,32.407,27.679,9.716,0.889,21.605,0.691,2.988,A3,select word,rare
32.407,79.704,5.42,10.148,10.346,20.593,11.605,16.457,0.012,14.877,15.593,A3,select word,rare
100.0,33.79,18.037,24.333,26.111,3.062,5.926,0.691,27.012,9.951,24.0,A3,select word,rare
