0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Feature,Frequency Density Group
10.27,18.662,29.919,29.568,10.784,,A2,select word,rare
10.27,26.797,23.986,19.014,10.784,,A2,select word,rare
19.649,18.662,45.77,19.014,10.514,,A2,select word,rare
26.405,61.257,45.77,19.014,10.784,,A2,select word,rare
41.122,18.662,29.919,19.014,10.514,,A2,select word,rare
11.689,11.311,45.77,29.568,10.514,,A2,select word,rare
64.514,26.797,50.946,19.014,10.784,,A2,select word,rare
64.514,3.243,50.946,19.014,10.784,,A2,select word,rare
10.27,11.311,50.946,29.568,10.784,,A2,select word,rare
19.649,3.243,45.77,19.014,10.784,,A2,select word,rare
26.405,26.797,29.919,10.919,10.514,,A2,select word,rare
11.689,3.243,45.77,29.568,10.514,,A2,select word,rare
34.595,11.311,45.77,29.568,10.784,,A2,select word,rare
41.122,61.257,23.986,10.919,10.784,,A2,select word,rare
26.405,61.257,23.986,29.568,10.784,,A2,select word,rare
10.27,11.311,45.77,19.014,10.784,,A2,select word,rare
34.595,3.243,29.919,19.014,10.784,,A2,select word,rare
10.27,18.662,50.946,19.014,10.514,,A2,select word,rare
34.595,26.797,45.77,10.919,10.784,,A2,select word,rare
55.135,2.392,29.919,10.919,10.514,,A2,select word,rare
34.595,11.311,29.919,29.568,10.784,,A2,select word,rare
55.851,26.797,23.986,29.568,10.784,,A2,select word,rare
26.405,26.797,50.946,29.568,10.784,,A2,select word,rare
47.176,11.311,45.77,10.919,10.784,,A2,select word,rare
47.176,2.392,50.946,19.014,10.784,,A2,select word,rare
10.27,61.257,29.919,29.568,10.784,,A2,select word,rare
41.122,26.797,50.946,29.568,10.514,,A2,select word,rare
25.574,8.447,6.191,6.021,,,A1,select word,rare
6.319,14.809,6.191,6.191,,,A1,select word,rare
27.574,14.809,6.021,6.191,,,A1,select word,rare
6.319,14.809,6.021,6.021,,,A1,select word,rare
6.319,8.447,6.021,6.191,,,A1,select word,rare
25.574,23.447,6.191,6.191,,,A1,select word,rare
25.574,14.809,6.021,6.191,,,A1,select word,rare
38.213,23.447,6.021,6.191,,,A1,select word,rare
25.574,8.447,6.021,6.191,,,A1,select word,rare
27.574,23.447,6.021,6.021,,,A1,select word,rare
38.213,14.809,6.191,6.191,,,A1,select word,rare
27.574,23.447,6.191,6.191,,,A1,select word,rare
27.574,23.447,6.021,6.191,,,A1,select word,rare
6.319,23.447,6.021,6.191,,,A1,select word,rare
46.851,14.809,6.191,6.021,,,A1,select word,rare
6.319,14.809,6.021,6.021,,,A1,select word,rare
25.574,14.809,6.021,6.191,,,A1,select word,rare
46.851,23.447,6.021,6.191,,,A1,select word,rare
38.213,14.809,6.191,6.021,,,A1,select word,rare
27.574,14.809,6.191,6.021,,,A1,select word,rare
6.319,14.809,6.191,6.021,,,A1,select word,rare
46.851,14.809,6.021,6.021,,,A1,select word,rare
46.851,8.447,6.021,6.021,,,A1,select word,rare
6.319,8.447,6.021,6.021,,,A1,select word,rare
25.574,23.447,6.021,6.191,,,A1,select word,rare
46.851,8.447,6.191,6.191,,,A1,select word,rare
25.574,8.447,6.191,6.021,,,A1,select word,rare
25.574,8.447,6.021,6.021,,,A1,select word,rare
25.574,8.447,6.191,6.021,,,A1,select word,rare
6.319,23.447,6.021,6.191,,,A1,select word,rare
38.213,23.447,6.191,6.191,,,A1,select word,rare
46.851,23.447,6.021,6.021,,,A1,select word,rare
46.851,23.447,6.021,6.021,,,A1,select word,rare
46.851,14.809,6.191,6.021,,,A1,select word,rare
38.213,14.809,6.021,6.021,,,A1,select word,rare
38.213,14.809,6.021,6.191,,,A1,select word,rare
25.574,8.447,6.191,6.191,,,A1,select word,rare
27.574,14.809,6.021,6.191,,,A1,select word,rare
38.213,23.447,6.021,6.191,,,A1,select word,rare
27.574,23.447,6.191,6.021,,,A1,select word,rare
46.851,14.809,6.191,6.191,,,A1,select word,rare
25.574,8.447,6.191,6.021,,,A1,select word,rare
6.319,8.447,6.191,6.191,,,A1,select word,rare
46.851,8.447,6.191,6.021,,,A1,select word,rare
27.574,23.447,6.191,6.021,,,A1,select word,rare
38.213,14.809,6.191,6.191,,,A1,select word,rare
27.574,23.447,6.191,6.021,,,A1,select word,rare
38.213,23.447,6.021,6.021,,,A1,select word,rare
27.574,8.447,6.021,6.021,,,A1,select word,rare
6.319,14.809,6.021,6.021,,,A1,select word,rare
6.319,14.809,6.021,6.191,,,A1,select word,rare
25.574,14.809,6.191,6.021,,,A1,select word,rare
25.574,14.809,6.021,6.191,,,A1,select word,rare
38.213,8.447,6.021,6.191,,,A1,select word,rare
46.851,14.809,6.191,6.021,,,A1,select word,rare
6.319,8.447,6.021,6.021,,,A1,select word,rare
27.574,14.809,6.191,6.191,,,A1,select word,rare
6.319,8.447,6.191,6.021,,,A1,select word,rare
38.213,14.809,6.191,6.191,,,A1,select word,rare
25.574,14.809,6.021,6.021,,,A1,select word,rare
6.319,8.447,6.191,6.021,,,A1,select word,rare
46.851,14.809,6.191,6.021,,,A1,select word,rare
27.574,23.447,6.191,6.021,,,A1,select word,rare
6.319,14.809,6.191,6.021,,,A1,select word,rare
6.319,14.809,6.191,6.021,,,A1,select word,rare
27.574,8.447,6.021,6.021,,,A1,select word,rare
25.574,8.447,6.021,6.021,,,A1,select word,rare
25.574,8.447,6.191,6.021,,,A1,select word,rare
46.851,8.447,6.021,6.191,,,A1,select word,rare
6.319,14.809,6.191,6.191,,,A1,select word,rare
25.574,14.809,6.191,6.191,,,A1,select word,rare
46.851,14.809,6.191,6.191,,,A1,select word,rare
38.213,14.809,6.021,6.021,,,A1,select word,rare
25.574,23.447,6.021,6.191,,,A1,select word,rare
27.574,14.809,6.021,6.191,,,A1,select word,rare
25.574,14.809,6.021,6.191,,,A1,select word,rare
25.574,14.809,6.191,6.021,,,A1,select word,rare
46.851,8.447,6.191,6.021,,,A1,select word,rare
6.319,14.809,6.021,6.191,,,A1,select word,rare
38.213,8.447,6.191,6.191,,,A1,select word,rare
46.851,23.447,6.021,6.021,,,A1,select word,rare
6.319,14.809,6.191,6.021,,,A1,select word,rare
6.319,14.809,6.021,6.021,,,A1,select word,rare
46.851,14.809,6.021,6.191,,,A1,select word,rare
25.574,23.447,6.191,6.021,,,A1,select word,rare
38.213,8.447,6.021,6.191,,,A1,select word,rare
46.851,8.447,6.191,6.191,,,A1,select word,rare
27.574,14.809,6.021,6.021,,,A1,select word,rare
46.851,8.447,6.191,6.021,,,A1,select word,rare
6.319,8.447,6.021,6.021,,,A1,select word,rare
6.319,14.809,6.191,6.021,,,A1,select word,rare
25.574,8.447,6.021,6.021,,,A1,select word,rare
25.574,8.447,6.021,6.021,,,A1,select word,rare
27.574,23.447,6.191,6.191,,,A1,select word,rare
46.851,23.447,6.021,6.191,,,A1,select word,rare
25.574,8.447,6.021,6.191,,,A1,select word,rare
6.319,23.447,6.191,6.021,,,A1,select word,rare
38.213,8.447,6.191,6.191,,,A1,select word,rare
46.851,14.809,6.021,6.021,,,A1,select word,rare
25.574,14.809,6.021,6.191,,,A1,select word,rare
100.0,76.441,41.147,29.5,38.206,23.618,B2,select word,rare
100.0,5.824,120.735,17.735,23.618,23.471,B2,select word,rare
120.735,52.912,70.559,29.5,14.794,23.471,B2,select word,rare
55.853,52.912,55.853,17.735,23.618,23.618,B2,select word,rare
76.588,52.912,70.559,17.735,23.618,23.471,B2,select word,rare
55.853,76.441,41.147,17.735,14.794,23.471,B2,select word,rare
100.0,76.441,41.147,64.676,38.206,23.471,B2,select word,rare
76.588,5.824,120.735,64.676,38.206,23.618,B2,select word,rare
164.882,64.824,55.853,17.735,23.618,23.618,B2,select word,rare
100.0,52.912,120.735,29.5,23.618,23.618,B2,select word,rare
32.441,52.912,55.853,29.5,14.794,23.618,B2,select word,rare
100.0,52.912,41.147,29.5,38.206,23.471,B2,select word,rare
55.853,52.912,55.853,64.676,38.206,23.618,B2,select word,rare
100.0,52.912,70.559,29.5,38.206,23.618,B2,select word,rare
164.882,52.912,120.735,17.735,14.794,23.471,B2,select word,rare
76.588,5.824,70.559,17.735,38.206,23.618,B2,select word,rare
120.735,64.824,120.735,17.735,38.206,23.618,B2,select word,rare
76.588,76.441,47.147,29.5,14.794,23.471,B2,select word,rare
76.588,52.912,41.147,17.735,14.794,23.471,B2,select word,rare
55.853,5.824,70.559,29.5,14.794,23.618,B2,select word,rare
11.706,52.912,70.559,17.735,23.618,23.471,B2,select word,rare
32.441,64.824,41.147,29.5,38.206,23.618,B2,select word,rare
100.0,5.824,55.853,17.735,23.618,23.618,B2,select word,rare
100.0,76.441,70.559,64.676,23.618,23.618,B2,select word,rare
11.706,5.824,47.147,29.5,38.206,23.618,B2,select word,rare
11.706,76.441,41.147,29.5,14.794,23.471,B2,select word,rare
120.735,88.353,120.735,17.735,14.794,23.618,B2,select word,rare
55.853,88.353,47.147,17.735,14.794,23.471,B2,select word,rare
55.853,5.824,55.853,64.676,14.794,23.618,B2,select word,rare
164.882,5.824,55.853,17.735,23.618,23.471,B2,select word,rare
55.853,64.824,47.147,29.5,14.794,23.618,B2,select word,rare
100.0,52.912,47.147,64.676,23.618,23.618,B2,select word,rare
209.029,64.824,41.147,64.676,14.794,23.471,B2,select word,rare
55.853,5.824,41.147,64.676,38.206,23.618,B2,select word,rare
100.0,64.824,55.853,17.735,14.794,23.471,B2,select word,rare
100.0,5.824,70.559,64.676,38.206,23.618,B2,select word,rare
100.0,88.353,70.559,17.735,14.794,23.618,B2,select word,rare
32.441,5.824,47.147,64.676,14.794,23.471,B2,select word,rare
100.0,5.824,41.147,29.5,38.206,23.471,B2,select word,rare
32.441,88.353,70.559,64.676,14.794,23.618,B2,select word,rare
100.0,5.824,120.735,17.735,38.206,23.471,B2,select word,rare
55.853,52.912,47.147,64.676,23.618,23.618,B2,select word,rare
100.0,76.441,55.853,17.735,14.794,23.471,B2,select word,rare
100.0,52.912,47.147,29.5,14.794,23.471,B2,select word,rare
32.441,52.912,55.853,64.676,23.618,23.618,B2,select word,rare
55.853,88.353,47.147,17.735,38.206,23.471,B2,select word,rare
209.029,88.353,120.735,64.676,14.794,23.471,B2,select word,rare
