0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Feature,Frequency Density Group
32.407,22.951,63.938,38.519,19.802,0.691,A3,select word,rare
5.42,14.877,24.333,43.247,29.259,13.494,A3,select word,rare
70.247,5.42,13.494,10.148,40.099,17.247,A3,select word,rare
13.494,70.247,18.037,0.691,18.037,7.79,A3,select word,rare
5.42,5.42,5.42,18.222,16.654,5.42,A3,select word,rare
5.42,5.42,11.728,4.037,2.272,24.333,A3,select word,rare
24.333,52.716,11.728,14.877,19.802,14.877,A3,select word,rare
13.494,33.79,30.642,8.765,48.173,19.605,A3,select word,rare
24.333,4.037,26.111,13.494,18.037,3.062,A3,select word,rare
24.333,33.79,24.333,89.16,4.037,41.864,A3,select word,rare
62.173,70.247,24.333,24.333,13.494,29.062,A3,select word,rare
62.173,32.407,24.333,32.407,5.42,13.494,A3,select word,rare
5.42,70.247,18.037,4.037,4.037,10.148,A3,select word,rare
51.333,14.877,19.802,4.037,8.568,4.037,A3,select word,rare
5.42,22.951,19.802,43.247,70.247,21.975,A3,select word,rare
43.247,14.877,18.037,22.951,30.642,10.148,A3,select word,rare
24.333,24.333,18.037,10.148,27.494,36.16,A3,select word,rare
5.42,24.333,36.951,27.679,33.79,10.148,A3,select word,rare
5.42,14.877,62.173,33.79,33.79,20.593,A3,select word,rare
62.173,43.247,0.889,4.037,19.802,14.877,A3,select word,rare
81.086,43.247,49.556,10.148,18.037,1.679,A3,select word,rare
43.247,5.42,26.111,24.333,8.568,1.679,A3,select word,rare
13.494,14.877,11.728,10.148,0.889,25.321,A3,select word,rare
81.086,24.333,5.42,10.148,51.333,20.593,A3,select word,rare
24.333,41.864,7.185,24.333,33.79,20.593,A3,select word,rare
32.407,4.037,26.111,22.951,21.185,1.679,A3,select word,rare
24.333,4.037,19.802,32.407,57.63,0.691,A3,select word,rare
81.086,4.037,13.494,8.765,29.259,21.975,A3,select word,rare
5.42,33.79,19.802,0.691,40.099,4.037,A3,select word,rare
51.333,62.173,0.889,38.519,16.654,10.148,A3,select word,rare
5.42,62.173,11.728,33.79,10.346,6.407,A3,select word,rare
18.581,59.297,5.014,18.73,16.324,,A2,select word,rare
59.297,79.649,36.676,18.581,14.054,,A2,select word,rare
18.581,52.5,5.014,5.014,16.324,,A2,select word,rare
49.27,1.77,5.014,11.797,29.892,,A2,select word,rare
35.703,83.189,13.081,21.973,20.838,,A2,select word,rare
32.149,25.365,26.649,8.554,57.027,,A2,select word,rare
72.865,83.189,32.149,103.541,8.554,,A2,select word,rare
18.581,18.581,40.216,11.946,50.243,,A2,select word,rare
59.297,42.486,14.054,5.162,9.541,,A2,select word,rare
22.122,28.905,35.703,45.878,2.757,,A2,select word,rare
45.716,22.122,32.149,35.703,34.419,,A2,select word,rare
59.297,8.554,27.635,8.405,14.054,,A2,select word,rare
62.838,83.189,80.932,15.338,10.824,,A2,select word,rare
18.581,18.581,26.649,5.162,9.541,,A2,select word,rare
18.581,56.054,8.554,35.541,23.108,,A2,select word,rare
5.014,1.77,31.176,15.338,6.297,,A2,select word,rare
45.716,38.932,14.054,35.541,26.649,,A2,select word,rare
5.014,18.581,32.149,39.095,36.676,,A2,select word,rare
49.27,28.905,17.608,18.581,20.838,,A2,select word,rare
45.716,22.122,32.149,15.189,2.757,,A2,select word,rare
103.541,18.581,26.649,5.162,11.797,,A2,select word,rare
45.716,28.905,67.365,1.622,13.081,,A2,select word,rare
45.716,11.797,0.486,22.122,11.797,,A2,select word,rare
5.014,32.149,14.054,28.905,8.554,,A2,select word,rare
62.838,38.932,23.108,42.486,10.824,,A2,select word,rare
22.122,38.932,63.811,32.149,10.824,,A2,select word,rare
18.581,1.77,17.608,8.554,7.27,,A2,select word,rare
45.716,76.405,36.676,5.162,8.554,,A2,select word,rare
59.297,11.797,4.041,1.622,28.905,,A2,select word,rare
45.716,38.932,22.122,39.095,20.838,,A2,select word,rare
144.257,28.905,9.541,35.703,33.432,,A2,select word,rare
72.865,49.27,13.081,32.311,5.014,,A2,select word,rare
59.297,49.27,4.041,1.77,7.27,,A2,select word,rare
62.838,76.405,27.635,42.486,13.081,,A2,select word,rare
8.554,15.338,13.081,11.946,7.27,,A2,select word,rare
32.149,96.757,14.054,18.73,33.432,,A2,select word,rare
72.865,49.27,89.973,28.757,20.838,,A2,select word,rare
32.149,56.054,23.108,18.581,0.486,,A2,select word,rare
86.432,1.77,32.149,38.932,24.392,,A2,select word,rare
8.554,18.581,80.932,8.405,22.122,,A2,select word,rare
8.554,110.324,53.784,15.189,42.486,,A2,select word,rare
117.108,8.554,59.297,8.554,0.486,,A2,select word,rare
32.149,8.554,40.216,76.405,11.797,,A2,select word,rare
89.973,52.5,71.878,21.973,10.824,,A2,select word,rare
35.703,137.473,4.041,42.486,4.041,,A2,select word,rare
22.122,25.365,5.014,32.311,27.635,,A2,select word,rare
144.257,83.189,0.486,15.338,16.324,,A2,select word,rare
72.865,42.486,9.541,42.324,5.014,,A2,select word,rare
32.149,69.622,26.649,11.946,28.905,,A2,select word,rare
59.297,15.338,14.054,5.162,9.541,,A2,select word,rare
8.554,5.014,18.581,32.311,34.419,,A2,select word,rare
5.014,15.338,35.703,11.797,1.77,,A2,select word,rare
8.554,22.122,40.216,38.932,10.824,,A2,select word,rare
8.554,18.581,32.149,5.162,11.797,,A2,select word,rare
8.554,32.149,26.649,28.905,51.527,,A2,select word,rare
22.122,56.054,32.149,28.905,25.365,,A2,select word,rare
49.27,1.77,0.486,11.797,27.635,,A2,select word,rare
198.527,76.405,45.716,5.014,14.054,,A2,select word,rare
5.014,15.338,13.081,22.122,11.797,,A2,select word,rare
45.716,38.932,9.541,18.581,15.338,,A2,select word,rare
32.149,28.905,8.554,28.905,9.541,,A2,select word,rare
32.149,49.27,9.541,5.162,1.77,,A2,select word,rare
22.122,32.149,23.108,22.122,14.054,,A2,select word,rare
32.149,38.932,14.054,8.554,19.865,,A2,select word,rare
32.149,22.122,5.014,5.014,15.338,,A2,select word,rare
8.554,18.581,35.703,35.541,0.486,,A2,select word,rare
32.149,22.122,4.041,8.554,27.635,,A2,select word,rare
18.581,25.365,36.676,11.797,22.122,,A2,select word,rare
59.297,5.014,36.676,15.338,18.581,,A2,select word,rare
130.689,45.716,13.081,8.554,7.27,,A2,select word,rare
