0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Sampling Interval
2.342,3.04,3.758,2.2,,,A1,30 seconds
0.618,7.577,2.534,2.335,,,A1,30 seconds
4.762,6.624,4.109,2.712,,,A1,30 seconds
1.83,1.816,2.582,2.271,,,A1,30 seconds
6.453,1.375,1.602,3.125,,,A1,30 seconds
4.489,10.665,2.409,6.918,,,A1,30 seconds
2.866,1.756,4.963,5.438,,,A1,30 seconds
4.591,1.944,7.601,2.549,,,A1,30 seconds
9.043,3.393,5.722,6.32,,,A1,30 seconds
4.347,11.448,5.969,2.264,,,A1,30 seconds
3.367,0.561,3.597,11.764,,,A1,30 seconds
2.769,5.514,8.142,8.654,,,A1,30 seconds
2.143,0.45,2.487,1.054,,,A1,30 seconds
1.216,2.084,4.593,3.203,,,A1,30 seconds
10.95,0.478,2.079,2.321,,,A1,30 seconds
5.087,0.532,3.815,4.541,,,A1,30 seconds
7.136,0.179,4.185,1.218,,,A1,30 seconds
0.988,1.016,2.449,1.631,,,A1,30 seconds
3.464,2.413,3.569,2.25,,,A1,30 seconds
18.123,2.226,5.741,3.516,,,A1,30 seconds
2.399,4.591,2.259,5.729,,,A1,30 seconds
0.732,2.172,4.29,7.594,,,A1,30 seconds
1.289,10.125,6.899,6.96,,,A1,30 seconds
8.32,2.653,7.126,4.413,,,A1,30 seconds
0.179,0.248,3.379,2.3,,,A1,30 seconds
10.324,1.574,3.929,3.474,,,A1,30 seconds
3.339,0.931,2.885,5.046,,,A1,30 seconds
1.261,7.506,4.612,3.467,,,A1,30 seconds
6.624,2.326,0.485,3.701,,,A1,30 seconds
1.415,5.855,9.508,5.509,,,A1,30 seconds
8.815,4.176,3.028,3.559,,,A1,30 seconds
7.978,10.068,2.297,5.395,,,A1,30 seconds
6.043,1.403,3.407,3.844,,,A1,30 seconds
3.977,7.577,5.229,5.303,,,A1,30 seconds
2.354,3.55,4.432,3.025,,,A1,30 seconds
3.623,16.116,5.267,5.63,,,A1,30 seconds
6.197,1.102,6.13,4.797,,,A1,30 seconds
5.343,8.331,6.035,4.883,,,A1,30 seconds
2.798,9.484,3.417,4.562,,,A1,30 seconds
8.531,2.283,3.075,7.06,,,A1,30 seconds
2.696,9.897,6.548,3.645,,,A1,30 seconds
16.216,10.082,2.819,2.492,,,A1,30 seconds
2.496,3.265,3.379,4.022,,,A1,30 seconds
1.927,6.114,0.236,5.922,,,A1,30 seconds
1.785,0.535,5.656,4.392,,,A1,30 seconds
2.029,2.428,1.175,3.146,,,A1,30 seconds
17.013,1.728,4.271,1.609,,,A1,30 seconds
0.049,11.733,3.92,6.164,,,A1,30 seconds
6.567,1.671,0.115,4.321,,,A1,30 seconds
0.976,8.545,1.699,4.299,,,A1,30 seconds
4.574,0.037,0.959,6.164,,,A1,30 seconds
7.221,2.767,2.753,6.754,,,A1,30 seconds
12.487,5.058,4.925,2.413,,,A1,30 seconds
