30,40,50,60,70,80,90,100,110,120,Transcript,Sampling Interval Size
2.856,4.489,2.261,28.64,2.206,5.484,11.529,13.957,5.789,4.013,A1,30 seconds
0.049,2.202,14.657,7.457,1.361,4.511,0.847,4.541,2.883,1.152,A1,30 seconds
4.004,0.22,0.107,1.251,3.758,3.637,1.819,4.605,18.693,6.498,A1,30 seconds
4.435,9.574,1.011,0.543,3.282,5.507,6.399,0.367,3.255,4.91,A1,30 seconds
5.475,10.165,5.445,7.26,4.127,2.861,6.456,3.055,13.606,3.798,A1,30 seconds
3.897,7.206,0.15,3.412,2.284,2.238,3.278,6.801,4.801,1.143,A1,30 seconds
3.744,2.229,0.388,10.058,0.76,1.395,2.847,6.037,1.539,0.551,A1,30 seconds
3.61,0.641,2.153,1.116,7.465,6.332,5.359,8.867,2.58,2.65,A1,30 seconds
5.287,3.099,1.314,13.932,1.884,3.933,0.692,2.055,6.043,4.273,A1,30 seconds
12.793,6.031,12.354,1.556,12.554,0.529,5.359,1.841,4.601,7.663,A1,30 seconds
0.274,5.224,0.56,0.363,1.222,4.336,0.19,6.101,7.667,8.722,A1,30 seconds
2.785,10.39,3.185,8.784,13.876,4.314,1.078,5.961,2.981,3.179,A1,30 seconds
19.385,9.475,8.223,7.744,4.665,3.879,9.759,8.232,3.412,5.708,A1,30 seconds
36.353,10.551,12.806,1.466,6.588,9.233,1.9,12.956,2.492,1.421,A1,30 seconds
2.094,6.184,9.922,13.215,11.354,2.578,11.983,1.549,1.279,0.256,A1,30 seconds
7.224,11.547,5.812,2.426,8.433,3.152,6.542,2.604,4.171,7.376,A1,30 seconds
14.865,1.637,10.503,6.121,7.127,13.887,1.254,2.001,0.027,1.287,A1,30 seconds
0.731,17.735,5.617,2.695,3.268,3.022,7.355,12.139,5.026,3.448,A1,30 seconds
0.991,0.623,8.071,15.367,3.99,3.865,9.675,0.839,0.927,10.336,A1,30 seconds
16.309,1.484,2.195,4.516,4.544,5.444,2.094,3.712,12.217,0.372,A1,30 seconds
3.673,5.924,5.317,0.085,0.239,12.636,1.867,1.054,1.406,2.542,A1,30 seconds
11.278,7.807,2.883,2.327,6.189,4.659,10.955,5.391,0.883,5.125,A1,30 seconds
23.259,5.251,12.547,2.856,5.28,3.973,0.285,6.241,10.534,6.426,A1,30 seconds
7.798,0.462,1.678,5.269,0.376,1.794,3.55,3.337,5.149,3.332,A1,30 seconds
12.569,0.408,9.771,3.502,2.945,7.605,9.902,6.553,2.723,9.457,A1,30 seconds
9.663,5.968,9.256,8.157,3.529,1.556,5.454,2.055,1.895,7.834,A1,30 seconds
2.713,26.667,12.397,2.973,9.986,1.242,0.608,1.387,4.85,8.462,A1,30 seconds
12.614,12.031,20.361,5.179,3.729,2.188,2.094,3.012,8.871,6.829,A1,30 seconds
0.803,0.677,7.123,4.345,1.53,8.668,1.72,4.207,6.675,0.91,A1,30 seconds
3.601,4.363,0.473,29.411,1.115,2.511,3.502,4.498,2.263,5.78,A1,30 seconds
2.13,3.843,17.606,10.856,2.929,2.695,11.098,1.753,1.138,3.538,A1,30 seconds
17.268,8.444,6.2,0.067,3.929,9.879,7.642,9.566,19.447,4.928,A1,30 seconds
5.036,0.785,5.445,4.856,1.669,1.838,13.454,4.476,0.271,12.506,A1,30 seconds
9.053,32.344,4.112,4.202,18.257,7.112,4.258,1.938,0.159,6.201,A1,30 seconds
2.094,13.457,3.832,11.17,8.633,2.049,5.595,6.747,7.325,1.484,A1,30 seconds
0.56,2.399,4.779,0.65,2.376,2.83,1.628,0.862,6.758,7.323,A1,30 seconds
5.619,12.085,5.079,0.65,0.546,3.65,0.97,8.641,10.446,3.484,A1,30 seconds
7.619,4.058,1.357,4.677,10.063,8.762,7.786,4.325,6.484,3.072,A1,30 seconds
5.287,10.632,12.978,0.399,7.096,3.829,4.124,3.012,16.394,7.009,A1,30 seconds
19.815,1.96,0.322,3.412,8.356,0.789,8.193,0.462,1.969,3.879,A1,30 seconds
6.085,0.005,2.152,0.91,5.419,5.305,0.572,6.241,13.224,17.206,A1,30 seconds
4.901,17.466,0.516,3.359,3.483,11.076,8.216,1.366,7.839,0.013,A1,30 seconds
7.726,8.749,13.817,12.82,0.176,12.125,4.689,2.713,1.993,1.341,A1,30 seconds
8.417,5.323,8.523,5.493,0.654,5.668,0.202,16.583,5.466,5.502,A1,30 seconds
7.879,4.121,8.135,5.341,7.465,1.152,2.74,6.639,2.042,6.874,A1,30 seconds
5.143,12.623,11.191,6.489,2.544,6.829,7.116,3.143,2.433,1.412,A1,30 seconds
26.595,4.686,11.536,23.833,1.806,11.439,5.861,5.455,4.566,4.273,A1,30 seconds
12.928,20.587,7.879,4.3,5.157,5.695,9.424,17.519,3.333,2.381,A1,30 seconds
2.022,13.071,3.122,1.646,7.203,0.17,2.294,3.594,5.848,4.847,A1,30 seconds
2.39,16.954,1.981,3.673,10.032,1.269,6.542,1.14,0.349,7.116,A1,30 seconds
2.812,9.304,2.41,4.408,11.108,4.054,15.75,0.065,2.081,3.52,A1,30 seconds
7.116,4.946,1.764,2.65,7.895,2.91,3.971,2.55,8.166,2.776,A1,30 seconds
5.87,9.547,5.274,6.067,4.79,0.224,0.886,9.631,1.68,7.78,A1,30 seconds
2.704,16.255,1.291,0.632,0.422,12.058,5.06,4.887,13.87,7.87,A1,30 seconds
4.569,1.726,4.562,0.175,6.143,4.874,10.704,1.271,4.625,5.637,A1,30 seconds
0.022,0.265,15.841,0.892,0.683,13.914,5.538,6.306,0.839,1.377,A1,30 seconds
12.183,2.794,0.752,4.39,1.283,0.865,0.501,0.516,0.287,3.045,A1,30 seconds
