0.05,0.1,0.2,0.3,Transcript,0.4,0.5,0.6
6.234,0.587,3.838,0.905,A3,0.587,0.492,4.7
1.52,2.117,1.134,2.919,A3,2.4,1.198,3.371
7.803,0.884,0.506,0.812,A3,0.034,0.455,5.81
0.706,1.481,4.741,3.583,A3,0.001,0.687,6.181
4.264,3.152,3.459,0.607,A3,1.79,1.353,2.585
1.144,5.378,4.99,0.215,A3,0.064,0.229,3.056
0.646,7.764,5.101,0.122,A3,1.207,0.53,5.19
7.485,5.657,4.872,0.235,A3,3.3,0.125,5.425
5.916,0.586,3.519,1.607,A3,2.281,0.16,6.346
7.525,5.936,2.783,1.992,A3,1.795,0.296,3.029
1.303,2.058,2.058,0.428,A3,0.859,0.388,4.67
5.219,4.523,2.406,0.308,A3,2.411,1.318,4.68
6.631,1.76,3.55,0.639,A3,0.895,1.549,4.544
4.405,1.262,0.188,0.367,A3,0.294,0.11,2.701
10.807,2.953,4.723,0.102,A3,1.302,0.797,5.448
16.811,0.13,1.989,0.402,A3,0.065,1.246,3.712
3.848,4.902,0.139,0.089,A3,1.368,1.178,2.108
7.883,4.345,3.152,2.483,A3,4.703,2.793,4.113
1.162,3.033,6.025,2.508,A3,1.904,0.563,3.212
14.147,1.919,0.378,0.037,A3,2.778,0.53,2.632
2.695,3.411,1.919,0.62,A3,3.007,0.71,4.318
11.801,4.902,3.54,1.336,A3,1.297,1.39,2.983
0.229,0.726,0.09,2.733,A3,0.726,0.953,4.362
13.59,3.707,1.6,0.308,A3,0.085,0.313,6.055
6.69,1.88,3.171,4.045,A3,0.284,0.077,5.919
1.899,3.709,4.89,2.322,A3,3.212,1.569,5.273
2.973,3.868,4.761,1.86,A3,0.697,0.375,5.392
20.051,1.124,0.467,1.151,A3,1.343,0.196,4.259
1.64,3.788,2.963,0.175,A3,1.232,1.023,5.777
1.382,2.396,1.59,0.919,A3,0.175,0.79,3.192
0.248,0.229,6.244,1.56,A3,0.422,0.559,6.363
0.269,5.021,1.958,0.627,A3,1.472,1.958,5.2
0.089,1.003,5.697,4.928,A3,0.319,0.077,5.25
6.054,3.668,4.523,1.793,A3,1.018,0.327,3.739
4.128,17.761,3.861,0.681,B1,2.999,2.246,2.18
1.5,3.662,8.788,4.362,B1,2.348,0.975,2.745
5.111,1.954,0.153,4.078,B1,1.302,2.009,0.799
1.373,11.404,2.899,2.858,B1,5.662,0.602,2.791
15.07,1.572,6.118,0.612,B1,4.515,0.653,1.8
2.441,8.014,0.184,3.761,B1,1.209,0.737,0.58
9.171,9.997,3.111,4.128,B1,1.627,3.967,1.292
7.942,4.708,8.851,1.509,B1,1.541,0.305,0.326
1.763,0.809,0.165,0.603,B1,0.486,1.021,0.869
6.077,7.709,13.6,3.027,B1,1.959,0.695,1.122
2.475,10.514,0.801,4.023,B1,2.041,1.962,1.384
2.356,1.076,3.967,5.132,B1,1.864,0.055,1.088
16.342,11.277,3.81,1.544,B1,3.286,0.28,0.413
6.204,5.471,8.143,2.221,B1,2.417,2.483,0.801
2.984,2.623,6.554,1.777,B1,0.827,3.31,0.912
13.028,15.049,4.2,0.612,B1,1.972,3.704,1.423
8.162,16.172,1.954,1.804,B1,4.083,3.479,1.521
3.365,10.612,0.059,6.833,B1,2.629,4.7,4.617
10.493,1.818,1.235,6.163,B1,2.807,2.39,0.384
10.824,4.785,4.74,2.334,B1,1.101,2.305,0.925
8.196,2.136,1.151,3.79,B1,2.6,0.788,1.25
4.348,6.721,0.896,0.292,B1,2.629,0.691,1.127
26.174,3.988,7.166,4.249,B1,0.317,0.03,1.431
0.237,2.263,7.465,2.123,B1,1.498,0.034,0.395
2.187,1.021,3.195,2.752,B1,3.225,0.593,0.953
19.173,2.907,3.577,6.319,B1,0.414,2.861,1.564
8.586,15.125,3.492,4.087,B1,1.631,1.305,0.526
27.437,4.064,6.332,4.765,B1,2.539,4.463,2.056
1.89,5.387,3.397,4.384,B1,0.451,2.081,0.508
