# Percent Error Rates for sampling interval groups at 120 minutes total sampled time
30 seconds,1 minute,5 minutes,10 minutes,30 minutes,60 minutes,Transcript
0.06,3.229,5.237,30.986,18.051,8.312,B2
9.432,25.208,21.846,5.619,3.436,9.747,B2
8.791,21.258,25.249,10.345,29.961,8.476,B2
3.832,15.221,22.599,71.688,48.264,14.104,B2
16.792,6.127,24.293,1.549,16.492,17.136,B2
7.122,0.076,28.074,2.48,21.302,44.082,B2
7.887,7.354,6.96,4.595,38.034,24.7,B2
7.138,1.604,0.811,15.142,52.632,9.91,B2
6.113,14.06,38.949,3.054,52.348,7.52,B2
3.873,7.996,12.997,8.927,33.417,80.621,B2
9.692,3.3,3.477,25.902,41.325,3.204,B2
0.702,1.005,30.808,22.72,34.619,11.55,B2
0.77,5.048,4.527,24.427,39.481,11.656,B2
9.143,4.267,13.339,1.167,4.898,7.848,B2
1.699,10.675,9.091,12.751,25.7,21.343,B2
6.685,0.691,7.288,34.004,34.086,15.442,B2
0.019,1.795,27.598,47.346,31.98,43.057,B2
5.319,12.342,2.123,17.147,11.725,40.572,B2
13.036,17.024,3.803,17.926,33.537,40.219,B2
10.621,3.942,30.016,1.809,36.094,4.95,B2
7.042,11.932,7.108,13.2,85.975,67.137,B2
3.805,1.781,24.553,18.212,29.453,24.225,B2
6.589,1.822,17.857,24.332,18.816,50.119,B2
3.666,8.026,27.994,4.174,46.515,19.51,B2
4.188,11.208,0.746,28.538,43.442,38.974,B2
1.852,9.143,6.305,10.798,48.318,30.082,B2
1.945,2.576,28.527,22.149,33.28,4.188,B2
0.5,9.118,37.43,12.599,48.851,46.242,B2
8.982,9.799,29.604,23.772,9.637,18.363,B2
6.821,2.833,10.086,33.103,1.442,12.902,B2
3.095,26.355,26.328,14.336,0.486,9.102,B2
6.113,8.597,6.138,18.363,39.645,15.331,B2
3.967,8.843,5.824,21.124,41.746,72.371,B2
6.96,2.915,5.483,18.895,32.666,48.578,B2
2.139,5.321,10.607,23.091,26.533,35.807,B2
3.967,2.385,0.006,2.177,7.548,67.891,B2
11.645,1.057,22.531,55.432,19.69,4.98,B2
6.507,0.948,11.003,2.316,2.478,16.726,B2
2.029,8.791,14.964,16.344,3.393,66.908,B2
5.373,11.645,20.248,20.193,4.802,9.788,B2
7.504,8.624,21.026,11.604,6.387,20.332,B2
5.838,7.504,13.254,33.526,64.313,18.27,B2
16.125,13.557,17.625,19.852,43.606,0.402,B2
0.292,5.537,5.062,7.941,30.59,67.058,B2
3.887,2.494,10.045,24.757,0.197,74.324,B2
1.524,14.595,29.467,10.143,10.222,66.757,B2
9.965,2.027,1.658,4.349,18.188,8.941,B2
8.613,12.615,20.113,3.75,4.376,19.278,B2
7.998,1.563,8.337,0.689,66.976,47.1,B2
11.766,7.982,13.721,8.214,43.467,16.945,B2
5.51,4.215,4.076,17.325,13.926,35.955,B2
0.623,8.094,4.761,7.75,29.563,14.404,B2
12.902,5.811,11.809,14.347,19.155,34.441,B2
7.192,1.208,0.292,12.56,63.903,20.482,B2
5.059,3.092,8.624,2.549,6.769,89.554,B2
11.165,7.723,19.032,27.735,49.37,1.114,B2
1.044,16.191,8.884,3.42,67.399,16.316,B2
1.563,9.13,13.544,41.407,35.381,22.039,B2
2.601,2.464,2.193,6.985,15.672,7.356,B2
2.521,4.707,11.372,20.425,14.47,53.206,B2
5.729,6.892,7.026,16.205,62.892,53.219,B2
17.42,8.558,14.759,25.848,63.944,69.899,B2
1.592,8.408,7.217,9.05,3.366,38.061,B2
4.215,7.914,11.495,37.608,1.781,57.893,B2
4.294,2.341,9.214,14.702,1.986,73.027,B2
