# Percent Error Rates for Total Sampled Time (minutes) analyis; TTS: 30 min - 180 min, sampling interval:30 seconds
4.06,0.217,0.063,4.419,5.681,0.271,2.122,1.588,0.354,3.42,A2,5.746,3.938,2.564,3.763,3.393,1.742
2.759,5.859,2.723,6.879,2.021,1.186,0.332,7.342,0.032,1.399,A2,2.615,1.533,0.978,2.954,6.625,1.498
6.96,9.916,5.304,5.524,8.226,5.829,0.576,1.754,0.143,1.752,A2,2.784,1.716,2.804,3.869,5.362,0.935
2.406,12.592,2.576,11.514,5.106,8.208,1.973,2.247,3.672,2.09,A2,4.17,0.008,1.872,3.656,4.347,2.244
9.237,3.663,7.988,7.699,0.419,0.934,0.739,4.438,0.666,0.4,A2,2.978,1.011,0.896,0.057,0.486,0.61
9.753,2.474,1.21,0.38,12.233,12.493,1.619,0.095,6.932,4.273,A2,1.139,0.418,0.994,0.53,3.059,0.705
1.376,10.457,1.576,7.415,6.414,7.362,2.501,3.23,0.977,5.994,A2,3.785,1.682,3.422,0.972,3.281,0.311
9.428,9.062,5.841,1.295,1.411,2.017,5.239,5.255,1.188,4.111,A2,0.822,7.293,2.84,0.301,3.321,3.633
0.291,8.719,3.987,1.356,2.875,8.07,1.132,8.103,2.494,4.528,A2,3.131,0.767,0.974,3.412,0.343,1.498
8.831,5.097,7.505,9.265,7.214,10.732,6.513,1.23,4.846,1.315,A2,1.057,0.557,1.283,6.141,0.264,1.654
6.472,9.298,8.525,0.047,1.655,1.536,5.293,5.089,2.186,2.03,A2,0.172,0.208,0.392,4.304,2.804,2.034
8.709,0.126,5.065,4.236,0.296,7.56,1.457,1.649,0.3,0.627,A2,5.643,2.014,2.398,6.912,3.701,0.868
11.583,5.852,4.67,2.677,8.504,10.915,6.175,3.308,3.472,2.395,A2,3.344,0.139,3.125,4.022,0.748,1.945
5.036,2.619,1.181,0.725,1.865,6.576,0.4,0.368,5.544,4.731,A2,5.543,1.412,0.669,3.992,3.773,3.083
10.648,4.846,0.4,1.552,6.275,5.905,0.169,2.723,1.265,0.84,A2,0.466,2.849,3.832,0.172,2.843,0.265
0.4,3.046,3.352,3.646,7.65,2.345,1.688,1.779,2.995,3.013,A2,2.002,6.779,3.613,6.027,5.613,3.388
2.324,3.351,2.918,2.84,3.485,1.414,9.563,0.881,2.816,0.027,A2,1.814,1.934,5.74,3.168,0.468,4.581
4.223,7.926,2.357,0.454,2.266,4.251,2.65,4.377,5.69,2.385,A2,4.773,2.266,5.979,0.865,3.496,6.459
